时间(s)	加速度(m/s^2)
5.2300	-3.03000953e-10
5.2400	-2.92281644e-10
5.2500	-4.05626631e-10
5.2600	-6.57923630e-10
5.2700	-9.31818873e-10
5.2800	-1.22104190e-09
5.2900	-1.24921179e-09
5.3000	-1.16449382e-09
5.3100	-6.37445280e-10
5.3200	-7.52916298e-12
5.3300	7.93727094e-10
5.3400	1.58814326e-09
5.3500	1.85146993e-09
5.3600	1.96994675e-09
5.3700	1.27364319e-09
5.3800	4.74257227e-10
5.3900	-6.12286838e-10
5.4000	-1.42227120e-09
5.4100	-1.77593207e-09
5.4200	-1.58312742e-09
5.4300	-8.22839347e-10
5.4400	8.28674328e-11
5.4500	1.08400524e-09
5.4600	1.54189556e-09
5.4700	1.78534609e-09
5.4800	1.48338521e-09
5.4900	1.06986291e-09
5.5000	7.71666647e-10
5.5100	4.99142597e-10
5.5200	5.39162770e-10
5.5300	5.69586819e-10
5.5400	5.53096493e-10
5.5500	5.18680365e-10
5.5600	4.38852207e-10
5.5700	4.77623602e-10
5.5800	6.97118125e-10
5.5900	9.13262589e-10
5.6000	1.12618107e-09
5.6100	8.18452260e-10
5.6200	1.95179637e-10
5.6300	-8.80670741e-10
5.6400	-2.11898493e-09
5.6500	-2.60551443e-09
5.6600	-2.95839332e-09
5.6700	-1.87165430e-09
5.6800	-7.33469528e-10
5.6900	3.43344618e-10
5.7000	1.10347532e-09
5.7100	5.01867237e-10
5.7200	-3.40766017e-10
5.7300	-1.74076997e-09
5.7400	-2.59227749e-09
5.7500	-2.67090365e-09
5.7600	-2.03029084e-09
5.7700	-7.47500385e-10
5.7800	8.60429421e-11
5.7900	6.68536402e-10
5.8000	2.16135673e-10
5.8100	-5.72605668e-10
5.8200	-8.38092828e-10
5.8300	-1.02395435e-09
5.8400	6.29645866e-10
5.8500	2.30241534e-09
5.8600	3.81961672e-09
5.8700	4.76247664e-09
5.8800	3.51239646e-09
5.8900	1.71639047e-09
5.9000	-1.23569372e-09
5.9100	-3.33099539e-09
5.9200	-4.30875462e-09
5.9300	-3.56419482e-09
5.9400	-1.39426754e-09
5.9500	9.08084120e-10
5.9600	3.27853975e-09
5.9700	3.59718520e-09
5.9800	3.31530085e-09
5.9900	1.54910494e-09
6.0000	-4.06577554e-10
6.0100	-1.18027679e-09
6.0200	-1.75905826e-09
6.0300	-8.10983843e-10
6.0400	7.65655487e-11
6.0500	7.57321094e-10
6.0600	9.77092275e-10
6.0700	3.00504970e-10
6.0800	-3.95536922e-10
6.0900	-1.11508644e-09
6.1000	-1.08632137e-09
6.1100	-4.83848447e-10
6.1200	4.87010282e-10
6.1300	1.63182898e-09
6.1400	1.88684944e-09
6.1500	1.90882751e-09
6.1600	8.80247346e-10
6.1700	-2.50457091e-10
6.1800	-1.00109993e-09
6.1900	-1.59361499e-09
6.2000	-1.14700465e-09
6.2100	-6.43851146e-10
6.2200	3.32813307e-11
6.2300	3.97530682e-10
6.2400	2.01883913e-10
6.2500	-1.80980972e-10
6.2600	-7.73530148e-10
6.2700	-8.88386938e-10
6.2800	-6.64236228e-10
6.2900	1.09229473e-11
6.3000	8.81112810e-10
6.3100	9.98855693e-10
6.3200	9.41610905e-10
6.3300	-4.16959273e-10
6.3400	-1.86223404e-09
6.3500	-2.80959447e-09
6.3600	-3.39292984e-09
6.3700	-1.92862430e-09
6.3800	-1.68041562e-10
6.3900	2.41788479e-09
6.4000	4.16280974e-09
